p.ID,p.T1,p.T2,p.T3,p.T4,p.T5,p.T6,p.Num,abcDist,seed,drv,cellAnaNum,migrBe,migr,localMigr,select,distMigrDrvNum,lesionNum,firstMigrNum,generation,currentStop,setStop,num,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
TCGA-02-0003,85.00636483,14.99363517,0,0,0,0,2,1.79E-08,945,0.001,1,0,2.50E-09,1.00E-04,0.01,1,2,35586,161,1.00E+06,1.00E+06,2,85.00690681,14.99309319,0,0,0,0,0,0,0,0,1.00E+06,176375,0,0,0,0,0,0,0,0
TCGA-02-0033,99.69358326,0.306416741,0,0,0,0,2,1.11E-07,94,0.001,1,0,5.00E-09,1.00E-04,0.01,1,3,460540,161,1.00E+06,1.00E+06,2,99.6949335,0.305066497,0,0,0,0,0,0,0,0,1.00E+06,3060,899,0,0,0,0,0,0,0
TCGA-02-0085,99.36523446,0.634765538,0,0,0,0,2,1.88E-07,698,0.001,1,0,1.00E-09,1.00E-04,0.01,1,2,376484,159,1.00E+06,1.00E+06,2,99.36347756,0.636522437,0,0,0,0,0,0,0,0,1.00E+06,6406,0,0,0,0,0,0,0,0
TCGA-06-0133,80.56585372,10.53073168,8.903414601,0,0,0,3,0.605968319,816,0.001,1,0,1.00E-08,1.00E-04,0.01,1,7,54622,158,1.00E+06,1.00E+06,4,80.31031907,10.62425211,8.68612318,0.379305637,0,0,0,0,0,0,1.00E+06,132290,108157,4723,203,28,7,0,0,0
TCGA-06-0139,71.51134081,28.48865919,0,0,0,0,2,0.009975804,744,0.001,1,0,1.00E-09,1.00E-04,0.01,1,2,8193,160,1.00E+06,1.00E+06,2,71.91595614,28.08404386,0,0,0,0,0,0,0,0,1.00E+06,390512,0,0,0,0,0,0,0,0
TCGA-06-0142,93.70563596,3.56196012,2.356110494,0.376293428,0,0,4,0.022761746,917,0.001,1,0,1.00E-08,1.00E-04,0.01,1,9,199415,158,1.00E+06,1.00E+06,4,94.16302256,3.220846187,2.356994618,0.259136638,0,0,0,0,0,0,1.00E+06,34205,25031,2752,41,19,16,2,1,0
TCGA-06-0166,62.77580764,15.68163908,9.608944055,8.673167881,3.063435803,0.197005544,6,1.266045016,856,0.001,1,0,5.00E-09,1.00E-04,0.01,1,7,14097,159,1.00E+06,1.00E+06,6,61.26962926,17.94587441,9.504635047,7.759859815,3.374424831,0.145576639,0,0,0,0,1.00E+06,292900,155128,126651,55075,2376,16,0,0,0
TCGA-06-0173,92.83805391,4.18840228,2.125126919,0.483142543,0.365274348,0,5,0.079577547,236,0.001,1,0,1.00E-08,1.00E-04,0.01,1,8,131094,158,1.00E+06,1.00E+06,5,92.45792933,4.827136032,2.072814318,0.477082915,0.165037404,0,0,0,0,0,1.00E+06,52209,22419,5160,1785,734,708,61,0,0
TCGA-06-0188,96.78135416,3.218645837,0,0,0,0,2,5.23E-06,799,0.001,1,0,1.00E-08,1.00E-04,0.01,1,2,168200,160,1.00E+06,1.00E+06,2,96.79061673,3.20938327,0,0,0,0,0,0,0,0,1.00E+06,33158,0,0,0,0,0,0,0,0
TCGA-06-0238,93.54585113,6.265477063,0.188671802,0,0,0,3,0.003549197,196,0.001,1,0,5.00E-09,1.00E-04,0.01,1,3,113156,157,1.00E+06,1.00E+06,3,93.7870752,6.027038814,0.185885983,0,0,0,0,0,0,0,1.00E+06,64263,1982,0,0,0,0,0,0,0
TCGA-06-1802,97.42016064,2.32198972,0.257849639,0,0,0,3,0.001001854,119,0.001,1,0,1.00E-08,1.00E-04,0.01,1,6,203814,158,1.00E+06,1.00E+06,3,97.34235892,2.408639329,0.249001754,0,0,0,0,0,0,0,1.00E+06,24744,2558,771,257,19,0,0,0,0
TCGA-08-0349,87.69113299,9.084323669,3.224543336,0,0,0,3,0.079501212,990,0.001,1,0,1.00E-08,1.00E-04,0.01,1,7,66345,159,1.00E+06,1.00E+06,3,87.24031829,9.437308671,3.322373041,0,0,0,0,0,0,0,1.00E+06,108176,38083,948,68,19,1,0,0,0
TCGA-08-0352,60.02248567,39.97751433,0,0,0,0,2,0.054688359,148,0.001,1,0,5.00E-09,1.00E-04,0.01,1,4,382,157,1.00E+06,1.00E+06,2,60.96984736,39.03015264,0,0,0,0,0,0,0,0,1.00E+06,640155,218,1,0,0,0,0,0,0
TCGA-08-0390,71.55194176,27.00368676,1.444371487,0,0,0,3,0.124469044,500,0.001,1,0,1.00E-08,1.00E-04,0.01,1,3,5420,162,1.00E+06,1.00E+06,3,71.18815885,27.49108724,1.320753911,0,0,0,0,0,0,0,1.00E+06,386175,18553,0,0,0,0,0,0,0
TCGA-08-0392,79.94065991,20.05934009,0,0,0,0,2,0.00439585,925,0.001,1,0,1.00E-08,1.00E-04,0.01,1,3,16240,157,1.00E+06,1.00E+06,2,80.20924989,19.79075011,0,0,0,0,0,0,0,0,1.00E+06,246739,153,0,0,0,0,0,0,0
TCGA-08-0524,96.04624449,2.886575009,1.067180497,0,0,0,3,0.033897868,779,0.001,1,0,5.00E-09,1.00E-04,0.01,1,4,186665,157,1.00E+06,1.00E+06,3,95.50642281,3.470321379,1.023255814,0,0,0,0,0,0,0,1.00E+06,36336,10714,675,0,0,0,0,0,0
TCGA-12-1096,85.97584465,14.02415535,0,0,0,0,2,9.69E-06,568,0.001,1,0,2.50E-09,1.00E-04,0.01,1,2,42410,156,1.00E+06,1.00E+06,2,85.96323524,14.03676476,0,0,0,0,0,0,0,0,1.00E+06,163288,0,0,0,0,0,0,0,0
TCGA-12-1097,63.65226388,36.34773612,0,0,0,0,2,0.002637295,481,0.001,1,0,1.00E-08,1.00E-04,0.01,1,4,1142,156,1.00E+06,1.00E+06,2,63.86030431,36.13969569,0,0,0,0,0,0,0,0,1.00E+06,565918,36,9,0,0,0,0,0,0
TCGA-12-1599,94.40681691,5.59318309,0,0,0,0,2,1.65E-06,287,0.001,1,0,1.00E-08,1.00E-04,0.01,1,6,125457,157,1.00E+06,1.00E+06,2,94.40160709,5.598392907,0,0,0,0,0,0,0,0,1.00E+06,59304,1000,483,17,17,0,0,0,0
TCGA-12-3649,98.74447803,1.255521972,0,0,0,0,2,5.81E-06,998,0.001,1,0,2.50E-09,1.00E-04,0.01,1,2,308792,153,1.00E+06,1.00E+06,2,98.73471463,1.265285368,0,0,0,0,0,0,0,0,1.00E+06,12815,0,0,0,0,0,0,0,0
TCGA-14-0789,67.20230584,32.01585305,0.781841108,0,0,0,3,0.107969645,950,0.001,1,0,2.50E-09,1.00E-04,0.01,1,3,1118,159,1.00E+06,1.00E+06,3,66.30547862,32.99731927,0.697202108,0,0,0,0,0,0,0,1.00E+06,497656,10515,0,0,0,0,0,0,0
TCGA-14-1396,55.70556956,32.79241841,11.50201203,0,0,0,3,14.63938402,570,0.001,1,0,2.50E-08,1.00E-04,0.01,1,15,10297,158,1.00E+06,1.00E+06,7,64.58233634,22.04007851,10.85706573,1.81611988,0.387881512,0.203757271,0.112760759,0,0,0,1.00E+06,341271,168112,28121,6006,3155,1746,28,23,10
TCGA-14-1401,91.66082942,4.455599842,1.91843721,1.38921333,0.575920193,0,5,0.349943981,876,0.001,1,0,1.00E-08,1.00E-04,0.01,1,5,110352,159,1.00E+06,1.00E+06,5,91.25719563,4.963661385,2.078838916,1.493697778,0.206606291,0,0,0,0,0,1.00E+06,54392,22780,16368,2264,0,0,0,0,0
TCGA-14-1453,44.74187932,31.65442963,15.33868529,5.38525271,2.099819949,0.779933097,5,321.563605,101,0.001,1,0,1.00E-07,1.00E-04,0.01,1,74,41167,156,1.00E+06,1.00E+06,31,62.29415675,10.88060889,9.892374385,5.648148898,3.583595955,1.737944679,1.663565456,1.492131937,1.438434373,1.369038683,1.00E+06,174665,158801,90669,57527,27899,26705,23953,23091,21977
TCGA-19-1388,73.29192531,26.70807469,0,0,0,0,2,0.026502783,289,0.001,1,0,2.50E-09,1.00E-04,0.01,1,5,6097,156,1.00E+06,1.00E+06,2,73.95142427,26.04857573,0,0,0,0,0,0,0,0,1.00E+06,352239,720,13,3,0,0,0,0,0
TCGA-19-2620,53.52321719,46.47678281,0,0,0,0,2,1.67753466,634,0.001,1,0,5.00E-09,1.00E-04,0.01,1,6,127,155,1.00E+06,1.00E+06,3,58.23009623,41.62333862,0.146565152,0,0,0,0,0,0,0,1.00E+06,714808,2517,825,791,94,0,0,0,0
TCGA-19-5951,96.1493874,3.850612597,0,0,0,0,2,2.47E-07,602,0.001,1,0,1.00E-08,1.00E-04,0.01,1,5,165765,157,1.00E+06,1.00E+06,2,96.1473747,3.852625304,0,0,0,0,0,0,0,0,1.00E+06,40070,18,1,1,0,0,0,0,0
TCGA-19-5954,82.98976109,10.05119454,6.061433447,0.897610922,0,0,4,0.495421688,371,0.001,1,0,5.00E-09,1.00E-04,0.01,1,7,71113,155,1.00E+06,1.00E+06,5,83.95057997,9.154894697,5.853286287,0.939155138,0.102083905,0,0,0,0,0,1.00E+06,109051,69723,11187,1216,196,62,0,0,0
TCGA-19-5955,63.65349977,36.34650023,0,0,0,0,2,0.002606054,481,0.001,1,0,1.00E-08,1.00E-04,0.01,1,4,1142,156,1.00E+06,1.00E+06,2,63.86030431,36.13969569,0,0,0,0,0,0,0,0,1.00E+06,565918,36,9,0,0,0,0,0,0
TCGA-19-5960,99.08630595,0.91369405,0,0,0,0,2,8.19E-08,152,0.001,1,0,2.50E-09,1.00E-04,0.01,1,4,311485,159,1.00E+06,1.00E+06,2,99.08514684,0.914853161,0,0,0,0,0,0,0,0,1.00E+06,9233,22,14,0,0,0,0,0,0
TCGA-27-1830,83.45488621,16.54511379,0,0,0,0,2,0.000881232,703,0.001,1,0,1.00E-08,1.00E-04,0.01,1,3,27373,153,1.00E+06,1.00E+06,2,83.57514408,16.42485592,0,0,0,0,0,0,0,0,1.00E+06,196528,1,0,0,0,0,0,0,0
TCGA-27-1835,70.23992969,29.76007031,0,0,0,0,2,2.87E-05,982,0.001,1,0,5.00E-09,1.00E-04,0.01,1,7,5184,157,1.00E+06,1.00E+06,2,70.26162619,29.73837381,0,0,0,0,0,0,0,0,1.00E+06,423252,988,401,44,12,10,0,0,0
TCGA-27-1838,95.11457682,4.88542318,0,0,0,0,2,4.17E-06,544,0.001,1,0,5.00E-09,1.00E-04,0.01,1,4,142078,158,1.00E+06,1.00E+06,2,95.10630507,4.893694928,0,0,0,0,0,0,0,0,1.00E+06,51455,15,11,0,0,0,0,0,0
TCGA-76-6193,68.22755941,31.77244059,0,0,0,0,2,0.005249606,920,0.001,1,0,2.50E-09,1.00E-04,0.01,1,2,3105,155,1.00E+06,1.00E+06,2,68.52107537,31.47892463,0,0,0,0,0,0,0,0,1.00E+06,459405,0,0,0,0,0,0,0,0
TCGA-76-6664,89.55068525,5.586075277,4.863239474,0,0,0,3,0.263598285,262,0.001,1,0,5.00E-09,1.00E-04,0.01,1,4,126861,155,1.00E+06,1.00E+06,3,88.93640069,6.01645857,5.047140739,0,0,0,0,0,0,0,1.00E+06,67649,56750,6,0,0,0,0,0,0